count,year,count_m,count_f,score_m,score_f,prop_f,diff_mf,diff_fm
12,1032,10,2,23.9896566,18.618358,0.16666666666666666,5.371298599999999,-5.3712986
10,1033,6,4,25.259592666666666,24.907942249999998,0.4,0.3516504166666685,-0.351650417
9,1034,9,,18.949505666666667,,,,
38,1035,37,1,19.62809635135135,21.472845,0.026315789,-1.844748649,1.8447486486486504
13,1036,12,1,21.375624916666666,20.913363,0.076923077,0.46226191666666594,-0.462261917
7,1037,4,3,23.421979,20.279092000000002,0.42857142857142855,3.142886999999998,-3.142887
16,1038,15,1,19.946788333333334,21.732914,0.0625,-1.786125667,1.786125666666667
10,1039,9,1,22.617881555555556,21.374477,0.1,1.243404555555557,-1.243404556
73,1040,66,7,20.463507151515152,21.154076285714286,0.095890411,-0.690569134,0.6905691341991336
5,1041,4,1,23.9853135,13.419726,0.2,10.5655875,-10.5655875
17,1042,17,,20.956178411764704,,,,
11,1043,10,1,22.968742,21.587046,0.090909091,1.381695999999998,-1.381696
5,1044,5,,17.3735804,,,,
40,1045,34,6,21.62232329411765,22.540432499999998,0.15,-0.918109206,0.9181092058823488
22,1046,18,4,20.835422777777776,27.38004425,0.18181818181818182,-6.544621472,6.544621472222225
12,1047,11,1,23.07682318181818,21.007212,0.083333333,2.069611181818182,-2.069611182
18,1048,16,2,22.382349,25.0863085,0.1111111111111111,-2.7039595,2.7039595
17,1049,16,1,19.24475325,24.019176,0.058823529411764705,-4.77442275,4.774422750000003
87,1050,77,10,21.513472909090908,20.2189218,0.11494252873563218,1.2945511090909072,-1.294551109
9,1051,8,1,22.65740138,26.265993,0.1111111111111111,-3.608591625,3.6085916250000025
17,1052,13,4,21.734776384615387,21.409598,0.23529411764705882,0.32517838461538773,-0.325178385
11,1053,10,1,25.3488318,25.829395,0.090909091,-0.4805632,0.4805632000000024
18,1054,16,2,23.30409631,23.31772,0.1111111111111111,-0.013623688,0.013623688
41,1055,34,7,21.447741852941174,23.17973057142857,0.17073170731707318,-1.731988718,1.731988718487397
15,1056,13,2,23.72995776923077,25.0149495,0.13333333333333333,-1.284991731,1.2849917307692316
9,1057,6,3,22.2714905,22.090481,0.3333333333333333,0.18100949999999827,-0.1810095
11,1058,8,3,25.07289838,20.912942666666666,0.2727272727272727,4.159955708333335,-4.159955708
14,1059,13,1,21.127665923076922,18.302084,0.071428571,2.8255819230769212,-2.825581923
80,1060,69,11,21.577266434782608,21.17940209090909,0.1375,0.3978643438735183,-0.397864344
11,1061,9,2,21.93154555555556,22.262805,0.18181818181818182,-0.331259444,0.33125944444444144
11,1062,10,1,21.559719899999997,24.292572,0.090909091,-2.7328521,2.7328521000000023
12,1063,9,3,21.262800222222225,23.236125666666666,0.25,-1.973325444,1.9733254444444412
9,1064,8,1,19.195667,18.891623,0.1111111111111111,0.3040440000000011,-0.304044
38,1065,32,6,21.00222053,22.880601833333333,0.15789473684210525,-1.878381302,1.8783813020833335
19,1066,18,1,21.368826833333333,25.403315,0.052631579,-4.034488167,4.034488166666666
7,1067,6,1,19.47805483333333,21.392191,0.14285714285714285,-1.914136167,1.914136166666669
14,1068,13,1,22.207264846153844,24.206007,0.071428571,-1.998742154,1.9987421538461554
10,1069,10,,20.430835,,,,
87,1070,82,5,20.2555365,20.3039468,0.057471264,-0.0484103,0.0484103
8,1071,7,1,19.359315142857145,26.202185,0.125,-6.842869857,6.842869857142855
10,1072,6,4,20.520299833333336,24.2698995,0.4,-3.749599667,3.749599666666665
16,1073,14,2,25.34755592857143,20.052473,0.125,5.295082928571432,-5.295082929
12,1074,11,1,23.894896909090907,24.670847,0.083333333,-0.775950091,0.7759500909090917
57,1075,48,9,20.473885854166667,19.51680122222222,0.15789473684210525,0.957084632,-0.957084632
14,1076,10,4,22.6764841,19.837211500000002,0.2857142857142857,2.8392725999999975,-2.8392726
9,1077,7,2,20.57945557142857,17.96263,0.2222222222222222,2.6168255714285706,-2.616825571
14,1078,9,5,25.01038311111111,21.4228036,0.35714285714285715,3.587579511111109,-3.587579511
14,1079,12,2,23.398801833333334,21.4504985,0.14285714285714285,1.9483033333333353,-1.948303333
81,1080,69,12,21.41664892753623,21.773827333333333,0.14814814814814814,-0.357178406,0.3571784057971037
22,1081,17,5,20.437214470588234,23.9669354,0.22727272727272727,-3.529720929,3.5297209294117664
13,1082,10,3,22.791584800000003,20.765021,0.23076923076923078,2.0265638000000017,-2.0265638
15,1083,13,2,23.359529615384613,26.39336,0.13333333333333333,-3.033830385,3.0338303846153885
13,1084,10,3,22.289274900000002,22.454446,0.23076923076923078,-0.1651711,0.16517109999999846
33,1085,29,4,20.979711620689656,22.4795155,0.12121212121212122,-1.499803879,1.4998038793103454
15,1086,15,,21.9146602,,,,
10,1087,9,1,22.87065311111111,26.275715,0.1,-3.405061889,3.4050618888888913
16,1088,14,2,19.70200807142857,24.544992,0.125,-4.842983929,4.842983928571432
8,1089,6,2,25.525562833333336,22.383549000000002,0.25,3.1420138333333334,-3.142013833
69,1090,62,7,20.339435677419356,19.470989857142857,0.10144927536231885,0.8684458202764986,-0.86844582
12,1091,9,3,21.627621444444443,21.234018333333335,0.25,0.39360311111110846,-0.393603111
17,1092,13,4,21.360372846153844,23.66285175,0.23529411764705882,-2.302478904,2.3024789038461577
19,1093,18,1,22.307208,24.112864,0.052631579,-1.805656,1.805655999999999
7,1094,6,1,23.58026866666667,18.579428,0.14285714285714285,5.000840666666669,-5.000840667
43,1095,37,6,22.300815243243242,21.679832666666666,0.13953488372093023,0.6209825765765764,-0.620982577
24,1096,20,4,22.631182250000002,20.6562585,0.16666666666666666,1.974923750000002,-1.97492375
14,1097,10,4,21.5576494,22.1428715,0.2857142857142857,-0.5852221,0.5852220999999993
14,1098,12,2,20.752367166666666,28.4726725,0.14285714285714285,-7.720305333,7.720305333333336
11,1099,11,,21.427827727272728,,,,
156,1100,148,8,20.679245310810813,18.999244750000003,0.051282051,1.6800005608108108,-1.680000561
16,1101,11,5,20.396195181818182,23.5662622,0.3125,-3.170067018,3.1700670181818182
19,1102,16,3,20.70768188,25.556316666666664,0.15789473684210525,-4.848634792,4.848634791666665
